date,open,high,low,close,volume
2025-12-29,639.0,641.0,618.0,618.0,735374800
2025-12-30,624.0,627.0,610.0,615.0,497572900
2026-01-02,614.0,614.0,578.0,579.0,835730000
2026-01-05,557.0,558.0,535.0,535.0,1086566000
2026-01-06,540.0,552.0,517.0,517.0,1065523000
2026-01-07,505.0,525.0,492.0,510.0,1497439000
2026-01-08,518.0,519.0,490.0,512.0,1613839000
2026-01-09,516.0,524.0,499.0,502.0,1324202000
2026-01-12,491.0,509.0,487.0,496.0,1333010000
2026-01-13,488.0,496.0,483.0,484.0,1138696000
2026-01-14,487.0,489.0,478.0,478.0,1019847000
2026-01-15,482.0,484.0,462.0,462.0,1372080000
2026-01-16,457.0,463.0,448.0,452.0,1426744000
2026-01-19,456.0,456.0,436.0,439.0,1430345000
2026-01-20,441.0,457.0,436.0,447.0,1957438000
2026-01-21,461.0,462.0,437.0,438.0,2490151000
2026-01-22,421.0,433.0,415.0,430.0,2043158000
2026-01-23,425.0,435.0,417.0,423.0,1689046000
2026-01-26,423.0,433.0,417.0,432.0,1288273000
2026-01-27,435.0,443.0,401.0,402.0,1831969000
2026-01-28,392.0,397.0,384.0,387.0,2344412000
2026-01-29,376.0,404.0,373.0,379.0,3174879000
2026-01-30,385.0,386.0,362.0,377.0,3358075000
2026-02-02,392.0,422.0,382.0,420.0,4802917000
2026-02-03,389.0,391.0,354.0,354.0,3657728000
2026-02-04,362.0,365.0,344.0,345.0,2686377000
2026-02-05,364.0,380.0,356.0,375.0,3123286000
2026-02-06,400.0,415.0,379.0,383.0,4469909000
2026-02-09,347.0,355.0,345.0,351.0,1923764000
2026-02-10,344.0,352.0,340.0,350.0,2243145000
2026-02-11,352.0,358.0,340.0,345.0,1963579000
2026-02-12,334.0,338.0,320.0,320.0,2347018000
2026-02-13,322.0,325.0,310.0,320.0,3254134000
2026-02-19,303.0,309.0,299.0,300.0,2266394000
2026-02-20,299.0,301.0,286.0,286.0,2282134000
2026-02-23,276.0,289.0,272.0,283.0,2879558000
2026-02-24,283.0,290.0,268.0,268.0,2804028000
2026-02-25,264.0,268.0,252.0,258.0,2950890000
2026-02-26,255.0,256.0,234.0,235.0,4280935000
2026-02-27,244.0,248.0,231.0,238.0,4554092000
2026-03-03,249.0,277.0,245.0,277.0,5352417000
2026-03-04,298.0,348.0,286.0,346.0,10096100000
2026-03-05,264.0,290.0,258.0,279.0,10037430000
2026-03-06,294.0,302.0,276.0,279.0,8119248000
2026-03-09,319.0,334.0,310.0,314.0,6501033000
2026-03-10,275.0,292.0,271.0,277.0,5009591000
2026-03-11,264.0,276.0,256.0,271.0,4695962000
2026-03-12,277.0,280.0,269.0,274.0,3535214000
2026-03-13,294.0,296.0,279.0,284.0,4143943000
2026-03-16,282.0,288.0,274.0,275.0,3496886000
2026-03-17,257.0,266.0,256.0,265.0,2684997000
2026-03-18,251.0,252.0,233.0,233.0,3168757000
2026-03-19,249.0,251.0,239.0,249.0,3406346000
2026-03-20,244.0,250.0,242.0,249.0,2063482000
2026-03-23,269.0,285.0,267.0,283.0,4061960000
2026-03-24,255.0,284.0,254.0,264.0,5835466000
2026-03-25,253.0,260.0,245.0,257.0,3664335000
2026-03-26,262.0,278.0,262.0,276.0,3611931000
2026-03-27,293.0,302.0,276.0,278.0,5616204000
