2026-03-20 02:25:03 [[32m[1mINFO    [0m] build_consensus:48 | [32m합의: MILD_BEAR size=30% minority=False[0m
2026-03-20 02:25:03 [[32m[1mINFO    [0m] build_consensus:48 | [32m합의: CAUTIOUS size=60% minority=False[0m
2026-03-20 23:30:30 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:30:37 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:30:44 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:30:50 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:30:56 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:03 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:09 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:16 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:22 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:28 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:34 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:41 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:47 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:31:53 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:00 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:06 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:12 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:18 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:25 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:31 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:37 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:43 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:50 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:32:56 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:03 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:09 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:15 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:22 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:28 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:34 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:40 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:47 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:33:56 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:02 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:08 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:14 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:21 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:27 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:33 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:40 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:46 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:52 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:34:59 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:05 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:11 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:18 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:24 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:30 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:36 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:42 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:49 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:35:55 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:36:01 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:36:08 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:36:14 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
