selection_rank,change_pct_seen,vol_ratio_seen,gap_pct_seen,from_high_pct_seen,signal_fired,trade_ready,traded,consensus_mode,source_type,selected_reason,vetoed,observations,date,market,ticker,signal_close,day_change_pct,day_gap_pct,mom5_pct,mom20_pct,mom60_pct,above_ma60,above_ma200,volume_ratio20,from_high20_pct,atr20_pct,realized_vol20_pct,bench_mom20_pct,bench_above_ma60,leveraged_or_inverse,rs20_pct,entry_date,entry_price,entry_gap_pct,whole_share_cost_krw,affordable,entry_calendar_index,available_1d,exit_date_1d,gross_1d_pct,net_1d_pct,benchmark_net_1d_pct,excess_1d_pct,mfe_1d_pct,mae_1d_pct,hygiene_1d,available_3d,exit_date_3d,gross_3d_pct,net_3d_pct,benchmark_net_3d_pct,excess_3d_pct,mfe_3d_pct,mae_3d_pct,hygiene_3d,tp3_sl2_3d_gross_pct,tp3_sl2_3d_net_pct,tp3_sl2_3d_exit_date,tp3_sl2_3d_exit_reason,available_5d,exit_date_5d,gross_5d_pct,net_5d_pct,benchmark_net_5d_pct,excess_5d_pct,mfe_5d_pct,mae_5d_pct,hygiene_5d,tp5_sl2_5d_gross_pct,tp5_sl2_5d_net_pct,tp5_sl2_5d_exit_date,tp5_sl2_5d_exit_reason,tp8_sl4_5d_gross_pct,tp8_sl4_5d_net_pct,tp8_sl4_5d_exit_date,tp8_sl4_5d_exit_reason,tp10_sl8_5d_gross_pct,tp10_sl8_5d_net_pct,tp10_sl8_5d_exit_date,tp10_sl8_5d_exit_reason,atr_rank_daily
16,7.65,26.66,,,0,0,0,CAUTIOUS_BEAR,rescreen,"흥아해운 거래량23배, 해운 급등 | 7%급등 해운주, 섹터 모멘텀 확인",0,2,2026-04-20,KR,003280,3320.0,8.143322475570036,5.537459283387625,1.0654490106544845,-8.413793103448274,102.81001832620649,True,True,2.0599284330588903,-23.59033371691599,11.930722891566266,153.9093229185273,16.630669546436284,True,False,-25.044462649884558,2026-04-21,3320.0,0.0,3320.0,True,277,True,2026-04-21,-4.216867469879515,-4.426867469879515,1.085986622073575,-5.51285409195309,0.9036144578313143,-5.572289156626509,ok,True,2026-04-23,-4.969879518072284,-5.179879518072284,2.5857775919732475,-7.765657110045532,6.927710843373491,-8.885542168674698,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,-6.024096385542165,-6.234096385542165,4.5558862876254205,-10.789982673167586,6.927710843373491,-8.885542168674698,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-4.0000000000000036,-4.2100000000000035,2026-04-21,STOP,-7.9999999999999964,-8.209999999999997,2026-04-23,STOP,0.8888888888888888
18,3.03,37.2,,,0,0,0,DEFENSIVE,rescreen,"거래량 37배, 안정적 상승",0,1,2026-04-20,KR,009580,3745.0,1.0796221322537214,0.0,33.74999999999999,47.151277013752456,56.36743215031315,True,True,44.45344956001214,-14.886363636363631,8.124165554072096,119.64666214129775,16.630669546436284,True,False,30.52060746731617,2026-04-21,4035.0,7.743658210947935,4035.0,True,277,True,2026-04-21,-7.063197026022305,-7.273197026022305,1.085986622073575,-8.359183648095879,9.541511771995047,-7.682775712515488,ok,True,2026-04-23,-19.083023543990084,-19.293023543990085,2.5857775919732475,-21.878801135963332,9.541511771995047,-19.95043370508055,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,-25.030978934324654,-25.240978934324655,4.5558862876254205,-29.796865221950075,9.541511771995047,-27.881040892193308,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-4.0000000000000036,-4.2100000000000035,2026-04-21,STOP,-7.9999999999999964,-8.209999999999997,2026-04-22,STOP,0.6944444444444444
20,,0.01,,,0,0,0,CAUTIOUS_BEAR,initial,광통신 소형주 방향성 확인,0,1,2026-04-20,KR,010170,15190.0,-2.5032092426187424,0.12836970474967568,-14.518851997749016,106.66666666666669,369.55177743431216,True,True,0.9413872442040789,-27.838479809976246,12.123107307439104,210.84588901568034,16.630669546436284,True,False,90.0359971202304,2026-04-21,15380.0,1.2508229098090906,15380.0,True,277,True,2026-04-21,2.080624187256186,1.870624187256186,1.085986622073575,0.784637565182611,3.1859557867360166,-8.842652795838756,ok,True,2026-04-23,-6.892067620286091,-7.102067620286091,2.5857775919732475,-9.687845212259338,4.031209362808852,-8.842652795838756,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,4.16124837451235,3.9512483745123497,4.5558862876254205,-0.6046379131130708,7.802340702210664,-14.109232769830948,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-4.0000000000000036,-4.2100000000000035,2026-04-21,STOP,-7.9999999999999964,-8.209999999999997,2026-04-21,STOP,0.9166666666666666
7,16.77,56.09,,,0,0,0,DEFENSIVE,rescreen,"퍼스텍 +20% 급등, 변동성 극대 | 16%급등 거래량52배, 고점 매도압력 | 16%대 급등, 거래량 56배 주목",0,3,2026-04-20,KR,010820,15700.0,16.468842729970333,3.6350148367952473,30.833333333333336,122.06506364922207,224.0454076367389,True,True,16.19288669432268,-4.7330097087378675,6.076433121019108,159.2932117704599,16.630669546436284,True,False,105.43439410278579,2026-04-21,15250.0,-2.86624203821656,15250.0,True,277,True,2026-04-21,-5.508196721311476,-5.718196721311476,1.085986622073575,-6.804183343385051,2.426229508196731,-6.950819672131148,ok,True,2026-04-23,0.39344262295082366,0.18344262295082367,2.5857775919732475,-2.402334969022424,22.81967213114755,-6.950819672131148,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,-6.360655737704923,-6.570655737704923,4.5558862876254205,-11.126542025330345,22.81967213114755,-9.836065573770492,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-4.0000000000000036,-4.2100000000000035,2026-04-21,STOP,10.000000000000009,9.790000000000008,2026-04-22,TARGET,0.3333333333333333
16,,0.01,,,0,0,0,CAUTIOUS_BEAR,initial,태양광 테마 변동성 경계,0,1,2026-04-20,KR,011930,3900.0,-6.474820143884896,0.0,3.038309114927351,39.28571428571428,136.6504854368932,True,True,1.4741230957255058,-21.52917505030181,8.602564102564102,148.84697760378958,16.630669546436284,True,False,22.655044739277994,2026-04-21,3900.0,0.0,3900.0,True,277,True,2026-04-21,0.8974358974358942,0.6874358974358943,1.085986622073575,-0.3985507246376807,8.717948717948708,0.0,ok,True,2026-04-23,2.4358974358974272,2.2258974358974273,2.5857775919732475,-0.35988015607582025,16.538461538461547,0.0,ok,3.0000000000000027,2.7900000000000027,2026-04-21,TARGET,True,2026-04-27,2.4358974358974272,2.2258974358974273,4.5558862876254205,-2.329988851727993,16.538461538461547,0.0,ok,5.000000000000004,4.7900000000000045,2026-04-21,TARGET,8.000000000000007,7.790000000000007,2026-04-21,TARGET,10.000000000000009,9.790000000000008,2026-04-22,TARGET,0.7222222222222222
18,,0.0,,,0,0,0,CAUTIOUS_BEAR,initial,원전테마 급등락 모니터링,0,1,2026-04-20,KR,032820,22650.0,0.44345898004434225,0.0,7.345971563981046,-14.041745730550282,183.8345864661654,True,True,0.6988440471454767,-23.220338983050848,9.304635761589404,99.708329565844,16.630669546436284,True,False,-30.672415276986566,2026-04-21,22900.0,1.103752759381904,22900.0,True,277,True,2026-04-21,-1.5283842794759805,-1.7383842794759805,1.085986622073575,-2.8243709015495555,2.183406113537112,-3.9301310043668103,ok,True,2026-04-23,2.183406113537112,1.973406113537112,2.5857775919732475,-0.6123714784361356,7.423580786026207,-5.676855895196509,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,1.091703056768556,0.881703056768556,4.5558862876254205,-3.6741832308568645,7.423580786026207,-5.676855895196509,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-4.0000000000000036,-4.2100000000000035,2026-04-22,STOP,1.091703056768556,0.881703056768556,2026-04-27,TIME,0.75
14,4.05,52.73,,,0,0,0,DEFENSIVE,rescreen,"루멘스 +10% 거래량45배, 모니터 | 7%급등 거래량50배, 추세 지속 여부 | 거래량 52배, 4% 상승 안정적 흐름",0,3,2026-04-20,KR,038060,1589.0,3.788373612018292,-4.964075767472242,111.86666666666665,127.0,127.0,True,True,65.93438014173371,-24.33333333333333,9.395846444304595,263.44849870220264,16.630669546436284,True,False,110.36933045356372,2026-04-21,1681.0,5.789804908747631,1681.0,True,277,True,2026-04-21,-9.280190362879237,-9.490190362879238,1.085986622073575,-10.576176984952813,3.5098155859607294,-15.526472337894115,ok,True,2026-04-23,-30.041641879833435,-30.251641879833436,2.5857775919732475,-32.83741947180668,3.5098155859607294,-32.95657346817371,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,-23.259964306960146,-23.469964306960147,4.5558862876254205,-28.025850594585567,3.5098155859607294,-34.08685306365259,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-4.0000000000000036,-4.2100000000000035,2026-04-21,STOP,-7.9999999999999964,-8.209999999999997,2026-04-21,STOP,0.7777777777777778
9,,0.14,,,0,0,0,CAUTIOUS_BEAR,initial,라온시큐어 AI보안 테마 점검,0,1,2026-04-20,KR,042510,15410.0,0.0,-10.902011680726797,72.75784753363229,73.53603603603605,64.98929336188436,True,True,106.08960424461998,-9.139150943396224,5.00324464633355,149.53202905074104,16.630669546436284,True,False,56.90536648959977,2026-04-21,15940.0,3.439325113562619,15940.0,True,277,True,2026-04-21,-14.554579673776658,-14.764579673776659,1.085986622073575,-15.850566295850234,5.20702634880803,-15.244667503136766,ok,True,2026-04-23,-17.56587202007528,-17.77587202007528,2.5857775919732475,-20.361649612048527,5.20702634880803,-21.95734002509411,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,-19.07151819322459,-19.281518193224592,4.5558862876254205,-23.83740448085001,5.20702634880803,-22.835633626097863,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-4.0000000000000036,-4.2100000000000035,2026-04-21,STOP,-7.9999999999999964,-8.209999999999997,2026-04-21,STOP,0.1111111111111111
12,0.58,40.33,,,0,0,0,DEFENSIVE,initial,"RF부품 소형주 변동성 주의 | 기가레인 +5% 거래량33배 이상 | 3%상승 거래량35배, 기가레인 수급 | 거래량 40배, 방어적 관찰 필요",0,4,2026-04-20,KR,049080,2640.0,1.538461538461533,10.1923076923077,5.811623246492981,412.621359223301,377.3960216998192,True,True,1.6393698585727312,-14.563106796116509,13.782196969696969,317.53249263471633,16.630669546436284,True,False,395.9906896768647,2026-04-21,2590.0,-1.8939393939393923,2590.0,True,277,True,2026-04-21,-5.984555984555984,-6.194555984555984,1.085986622073575,-7.280542606629559,5.791505791505802,-9.652509652509655,ok,True,2026-04-23,-0.7722007722007707,-0.9822007722007706,2.5857775919732475,-3.567978364174018,10.038610038610042,-14.28571428571429,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,-4.24710424710425,-4.45710424710425,4.5558862876254205,-9.01299053472967,10.038610038610042,-15.05791505791506,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-3.9999999999999925,-4.209999999999993,2026-04-21,STOP,-7.9999999999999964,-8.209999999999997,2026-04-21,STOP,0.9722222222222222
11,10.88,63.5,,,0,0,0,CAUTIOUS_BEAR,rescreen,"오픈베이스 거래량61배, 급등 추적 | 10%급등 거래량63배, 과열 여부확인",0,2,2026-04-20,KR,049480,3485.0,11.519999999999996,1.2799999999999923,56.27802690582959,67.95180722891567,48.614072494669514,True,True,171.1641251580794,-8.888888888888891,4.655667144906743,111.06967038921451,16.630669546436284,True,False,51.32113768247939,2026-04-21,3520.0,1.0043041606886627,3520.0,True,277,True,2026-04-21,-6.5340909090909065,-6.7440909090909065,1.085986622073575,-7.8300775311644815,0.0,-10.22727272727273,ok,True,2026-04-23,-6.818181818181824,-7.028181818181824,2.5857775919732475,-9.613959410155072,19.176136363636353,-13.494318181818176,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,True,2026-04-27,3.125,2.915,4.5558862876254205,-1.6408862876254204,19.176136363636353,-13.494318181818176,ok,-2.0000000000000018,-2.2100000000000017,2026-04-21,STOP,-4.0000000000000036,-4.2100000000000035,2026-04-21,STOP,-7.9999999999999964,-8.209999999999997,2026-04-21,STOP,0.08333333333333333
