threshold_pct,hold_sessions,signal_date,entry_date,exit_date,us_leader,kr_target,leader_return_pct,sector_net_pct,benchmark_net_pct,sector_minus_benchmark_pct,sector_inverse_50_50_net_pct
1.0,1,2018-01-03,2018-01-04,2018-01-04,SOXX,091160.KS,1.7486578485298887,-2.338820960698685,-1.578009621166566,-0.7608113395321192,-0.5528485109096102
1.0,1,2018-01-05,2018-09-12,2018-09-12,LIT,305720.KS,1.6566408584981929,-1.8641353383458745,-0.4146384720327476,-1.449496866313127,-1.0370676691729372
1.0,1,2018-01-08,2018-09-12,2018-09-12,LIT,305720.KS,1.4321228725186597,-1.8641353383458745,-0.4146384720327476,-1.449496866313127,-1.0370676691729372
1.0,1,2018-01-09,2018-01-10,2018-01-10,XLV,227550.KS,1.177313791994683,1.506738197424883,-1.1371721250186826,2.6439103224435656,1.2029766072448647
1.0,1,2018-01-12,2018-10-25,2018-10-25,ITA,309230.KS,1.5375279165243727,-0.26096839959225493,0.27725637181408214,-0.5382247714063371,-0.4771969069784452
1.0,1,2018-01-17,2018-01-18,2018-01-18,SOXX,091160.KS,2.901223504564454,-0.0825186669094933,-0.7031261207411941,0.6206074538317008,0.15237547883194447
1.0,1,2018-01-25,2018-10-25,2018-10-25,ITA,309230.KS,1.4969323307139293,-0.26096839959225493,0.27725637181408214,-0.5382247714063371,-0.4771969069784452
1.0,1,2018-01-26,2018-01-29,2018-01-29,SOXX,091160.KS,3.195886829882455,-0.9518129184005639,-0.04847283406754868,-0.9033400843330153,-0.7973566756504966
1.0,1,2018-02-06,2018-02-07,2018-02-07,SOXX,091160.KS,3.619064336548372,-2.422138400453767,-3.62066216008602,1.1985237596322529,0.5542549892993012
1.0,1,2018-02-07,2018-10-25,2018-10-25,ITA,309230.KS,1.3648871928325645,-0.26096839959225493,0.27725637181408214,-0.5382247714063371,-0.4771969069784452
1.0,1,2018-02-09,2018-02-12,2018-02-12,SOXX,091160.KS,2.878964776073345,-0.07799924570997077,0.4350572488308382,-0.5130564945408089,-0.3819060463284183
1.0,1,2018-02-12,2018-09-12,2018-09-12,LIT,305720.KS,2.9564957838967176,-1.8641353383458745,-0.4146384720327476,-1.449496866313127,-1.0370676691729372
1.0,1,2018-02-14,2018-02-19,2018-02-19,XLF,139220.KS,2.3767355365013287,1.3051515151515138,-1.030814619792476,2.3359661349439897,0.8349320794148398
1.0,1,2018-02-15,2018-10-25,2018-10-25,ITA,309230.KS,2.390464929649405,-0.26096839959225493,0.27725637181408214,-0.5382247714063371,-0.4771969069784452
1.0,1,2018-02-20,2018-02-21,2018-02-21,SOXX,091160.KS,1.7683491436436771,1.0877382276603722,0.23198895027625085,0.8557492773841213,0.03661649918819032
1.0,1,2018-02-22,2018-09-12,2018-09-12,LIT,305720.KS,1.278829733527398,-1.8641353383458745,-0.4146384720327476,-1.449496866313127,-1.0370676691729372
1.0,1,2018-02-23,2018-09-12,2018-09-12,LIT,305720.KS,2.1960054764833536,-1.8641353383458745,-0.4146384720327476,-1.449496866313127,-1.0370676691729372
1.0,1,2018-02-26,2018-02-27,2018-02-27,SOXX,091160.KS,2.1559804262576865,-0.6309370424597347,-1.0452668213457037,0.414329778885969,0.03257925471741219
1.0,1,2018-03-02,2018-03-06,2018-03-06,SOXX,091160.KS,1.698174796219365,1.0449166510582577,0.8989681774349103,0.1459484736233474,-0.13853849734616985
1.0,1,2018-03-05,2018-03-06,2018-03-06,XLF,139220.KS,1.4064662643283876,0.9711023622047223,0.8989681774349103,0.07213418476981204,-0.17544564177293753
1.0,1,2018-03-06,2018-09-12,2018-09-12,LIT,305720.KS,2.3802074627917724,-1.8641353383458745,-0.4146384720327476,-1.449496866313127,-1.0370676691729372
1.0,1,2018-03-09,2018-09-12,2018-09-12,LIT,305720.KS,2.4826830550281898,-1.8641353383458745,-0.4146384720327476,-1.449496866313127,-1.0370676691729372
1.0,1,2018-03-12,2018-03-13,2018-03-13,SOXX,091160.KS,1.060465091323426,1.143276353276356,0.2675107825015335,0.8757655707748224,0.17714272585240187
1.0,1,2018-03-26,2018-03-27,2018-03-27,SOXX,091160.KS,4.17228480282299,-1.6284397163120587,-0.505857988165682,-1.1225817281463768,-0.7555537370431029
1.0,1,2018-03-29,2018-03-30,2018-03-30,SOXX,091160.KS,2.1676277426220247,0.11276438200113945,-0.6926405106648001,0.8054048926659396,0.15596484239173056
1.0,1,2018-04-03,2018-04-04,2018-04-04,SOXX,091160.KS,1.8940924891899247,-2.454819646968532,-1.8735279347143816,-0.5812917122541505,-0.3989682650427049
1.0,1,2018-04-04,2018-04-05,2018-04-05,XLV,227550.KS,1.4239815716195148,0.04728987993138831,0.4714580031695661,-0.42416812323817776,-0.3230955918634768
1.0,1,2018-04-05,2018-09-12,2018-09-12,LIT,305720.KS,1.9360846796081077,-1.8641353383458745,-0.4146384720327476,-1.449496866313127,-1.0370676691729372
1.0,1,2018-04-10,2018-04-11,2018-04-11,SOXX,091160.KS,3.197783088091022,0.5206287252451416,-0.6020338717265159,1.1226625969716575,0.358236440544645
1.0,1,2018-04-12,2018-04-13,2018-04-13,SOXX,091160.KS,1.8854067756154613,-0.17283909327388083,0.0880859742704567,-0.26092506754433753,-0.35362554825900205
